panel_label,series_key,series_label,amm_enabled,metric_name,metric_label,target_mode,endpoint_name,endpoint_label,sample_filter,n_used,mean,std,median,ci_level,ci_lo,ci_hi
Funding Liquidity Shock,with_amm,With AMM,1,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,recovery_steps_recovered_only,Recovery Steps,recovered_only,12,359.0833333333333,190.024619617054,437.0,0.95,251.40833333333333,454.61666666666645
Funding Liquidity Shock,without_amm,Without AMM,0,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,recovered_indicator,Recovered Indicator,all,300,0.06333333333333334,0.2439684903901178,0.0,0.95,0.03666666666666667,0.09333333333333334
Funding Liquidity Shock,without_amm,Without AMM,0,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,time_observed_steps,Observed Time,all,300,582.8966666666666,76.01073231444899,600.0,0.95,573.9359999999999,590.8484166666667
Funding Liquidity Shock,without_amm,Without AMM,0,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,normalized_auc_abs,Normalized AUC,all,300,0.10867208198245683,0.05139652591056449,0.09510277530501104,0.95,0.1029966575794139,0.11464001565886829
Funding Liquidity Shock,without_amm,Without AMM,0,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,normalized_avg_impact,Normalized Average Impact,all,300,0.31006957027405735,0.10094972097247107,0.2965785978556813,0.95,0.2986267257475971,0.32200872200552944
Funding Liquidity Shock,without_amm,Without AMM,0,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,recovery_steps_recovered_only,Recovery Steps,recovered_only,19,329.94736842105266,154.49360780887076,362.0,0.95,263.66315789473686,397.11052631578946
High-Vol Stress,with_amm,With AMM,1,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,recovered_indicator,Recovered Indicator,all,300,0.02666666666666667,0.16137646493112862,0.0,0.95,0.01,0.04666666666666667
High-Vol Stress,with_amm,With AMM,1,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,time_observed_steps,Observed Time,all,300,594.1333333333333,38.50173373443609,600.0,0.95,589.2585,597.8104166666666
High-Vol Stress,with_amm,With AMM,1,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,normalized_auc_abs,Normalized AUC,all,300,0.20679748268895537,0.05689738432116459,0.19407798685122846,0.95,0.20051371809328614,0.21309224788776174
High-Vol Stress,with_amm,With AMM,1,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,normalized_avg_impact,Normalized Average Impact,all,300,0.39054175051972456,0.10207624499142325,0.384721567225913,0.95,0.3797443958200428,0.4021599281300645
High-Vol Stress,with_amm,With AMM,1,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,recovery_steps_recovered_only,Recovery Steps,recovered_only,8,380.0,97.36382431742442,358.0,0.95,318.2375,444.375
High-Vol Stress,without_amm,Without AMM,0,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,recovered_indicator,Recovered Indicator,all,300,0.03,0.17087224588772665,0.0,0.95,0.013333333333333334,0.05
High-Vol Stress,without_amm,Without AMM,0,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,time_observed_steps,Observed Time,all,300,592.8233333333334,46.14676444183698,600.0,0.95,587.2065833333334,597.4369999999999
High-Vol Stress,without_amm,Without AMM,0,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,normalized_auc_abs,Normalized AUC,all,300,0.19524660890496742,0.06315048151011331,0.1744342129936493,0.95,0.18855649607847796,0.20273174785495343
High-Vol Stress,without_amm,Without AMM,0,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,normalized_avg_impact,Normalized Average Impact,all,300,0.3769145813598837,0.10308825846438623,0.3648079130747246,0.95,0.3656250000632977,0.3888624074047703
High-Vol Stress,without_amm,Without AMM,0,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,recovery_steps_recovered_only,Recovery Steps,recovered_only,9,360.77777777777777,130.9262939384005,312.0,0.95,280.87500000000006,446.0166666666666
MM Withdrawal,with_amm,With AMM,1,depth_resilience,Depth Resilience,pre_shock_baseline,recovered_indicator,Recovered Indicator,all,300,1.0,0.0,1.0,0.95,1.0,1.0
MM Withdrawal,with_amm,With AMM,1,depth_resilience,Depth Resilience,pre_shock_baseline,time_observed_steps,Observed Time,all,300,11.173333333333334,7.00381803822726,10.0,0.95,10.4,11.986666666666666
MM Withdrawal,with_amm,With AMM,1,depth_resilience,Depth Resilience,pre_shock_baseline,normalized_auc_abs,Normalized AUC,all,300,0.24559626155667885,0.08338256210585147,0.22488972345407895,0.95,0.23584478074118206,0.2560690963993357
MM Withdrawal,with_amm,With AMM,1,depth_resilience,Depth Resilience,pre_shock_baseline,normalized_avg_impact,Normalized Average Impact,all,300,-0.5613694119703974,0.11830479917779216,-0.5801000377918182,0.95,-0.5750425278772945,-0.5477185910855908
MM Withdrawal,with_amm,With AMM,1,depth_resilience,Depth Resilience,pre_shock_baseline,recovery_steps_recovered_only,Recovery Steps,recovered_only,300,11.173333333333334,7.00381803822726,10.0,0.95,10.38,11.973499999999998
MM Withdrawal,without_amm,Without AMM,0,depth_resilience,Depth Resilience,pre_shock_baseline,recovered_indicator,Recovered Indicator,all,300,1.0,0.0,1.0,0.95,1.0,1.0
MM Withdrawal,without_amm,Without AMM,0,depth_resilience,Depth Resilience,pre_shock_baseline,time_observed_steps,Observed Time,all,300,11.486666666666666,7.221054932395807,10.0,0.95,10.74,12.303416666666665
MM Withdrawal,without_amm,Without AMM,0,depth_resilience,Depth Resilience,pre_shock_baseline,normalized_auc_abs,Normalized AUC,all,300,0.2554154877149923,0.1361886065398902,0.2229510056491924,0.95,0.24192632435332007,0.2714176438228072
MM Withdrawal,without_amm,Without AMM,0,depth_resilience,Depth Resilience,pre_shock_baseline,normalized_avg_impact,Normalized Average Impact,all,300,-0.5588199478574949,0.12620022322417615,-0.5685311910142818,0.95,-0.5724435967841424,-0.5440402937737645
MM Withdrawal,without_amm,Without AMM,0,depth_resilience,Depth Resilience,pre_shock_baseline,recovery_steps_recovered_only,Recovery Steps,recovered_only,300,11.486666666666666,7.221054932395807,10.0,0.95,10.709916666666668,12.356666666666667
Flash Crash,with_amm,With AMM,1,depth_resilience,Depth Resilience,pre_shock_baseline,recovered_indicator,Recovered Indicator,all,300,1.0,0.0,1.0,0.95,1.0,1.0
Flash Crash,with_amm,With AMM,1,depth_resilience,Depth Resilience,pre_shock_baseline,time_observed_steps,Observed Time,all,300,16.34,7.348769605567933,15.0,0.95,15.519916666666667,17.153499999999998
Flash Crash,with_amm,With AMM,1,depth_resilience,Depth Resilience,pre_shock_baseline,normalized_auc_abs,Normalized AUC,all,300,0.23148615450513507,0.0985177395864968,0.20291454961218341,0.95,0.22126943155659098,0.24300527835305535
Flash Crash,with_amm,With AMM,1,depth_resilience,Depth Resilience,pre_shock_baseline,normalized_avg_impact,Normalized Average Impact,all,300,-0.6207179058835628,0.11434746565858159,-0.6233853773756348,0.95,-0.6332689791814957,-0.6076240470476652
Flash Crash,with_amm,With AMM,1,depth_resilience,Depth Resilience,pre_shock_baseline,recovery_steps_recovered_only,Recovery Steps,recovered_only,300,16.34,7.348769605567933,15.0,0.95,15.53325,17.156666666666666
Flash Crash,without_amm,Without AMM,0,depth_resilience,Depth Resilience,pre_shock_baseline,recovered_indicator,Recovered Indicator,all,300,0.9966666666666667,0.05773502691896257,1.0,0.95,0.99,1.0
Flash Crash,without_amm,Without AMM,0,depth_resilience,Depth Resilience,pre_shock_baseline,time_observed_steps,Observed Time,all,300,18.08,34.39472231428716,15.0,0.95,15.573250000000002,22.476916666666664
Flash Crash,without_amm,Without AMM,0,depth_resilience,Depth Resilience,pre_shock_baseline,normalized_auc_abs,Normalized AUC,all,300,0.24716884017037255,0.12973239519191057,0.21216914135717854,0.95,0.23358216504325666,0.2627912913133879
Flash Crash,without_amm,Without AMM,0,depth_resilience,Depth Resilience,pre_shock_baseline,normalized_avg_impact,Normalized Average Impact,all,300,-0.6096907409293167,0.11157000530700606,-0.6166505834294522,0.95,-0.6212963624850066,-0.5965555283711158
Flash Crash,without_amm,Without AMM,0,depth_resilience,Depth Resilience,pre_shock_baseline,recovery_steps_recovered_only,Recovery Steps,recovered_only,299,16.13377926421405,6.842584981297637,15.0,0.95,15.377926421404682,16.919816053511703
Dealer Liquidity Crisis,with_amm,With AMM,1,depth_resilience,Depth Resilience,pre_shock_baseline,recovered_indicator,Recovered Indicator,all,300,1.0,0.0,1.0,0.95,1.0,1.0
Dealer Liquidity Crisis,with_amm,With AMM,1,depth_resilience,Depth Resilience,pre_shock_baseline,time_observed_steps,Observed Time,all,300,31.536666666666665,8.653994895290534,31.0,0.95,30.563166666666667,32.52675
Dealer Liquidity Crisis,with_amm,With AMM,1,depth_resilience,Depth Resilience,pre_shock_baseline,normalized_auc_abs,Normalized AUC,all,300,0.22170407082640395,0.0552984021246757,0.20784984760821068,0.95,0.2155921868499473,0.22799094032681796
Dealer Liquidity Crisis,with_amm,With AMM,1,depth_resilience,Depth Resilience,pre_shock_baseline,normalized_avg_impact,Normalized Average Impact,all,300,-0.7767063456053097,0.06546897937109582,-0.7825133405465264,0.95,-0.7838384289574858,-0.7693302178263655
Dealer Liquidity Crisis,with_amm,With AMM,1,depth_resilience,Depth Resilience,pre_shock_baseline,recovery_steps_recovered_only,Recovery Steps,recovered_only,300,31.536666666666665,8.653994895290534,31.0,0.95,30.556500000000003,32.50683333333333
Dealer Liquidity Crisis,without_amm,Without AMM,0,depth_resilience,Depth Resilience,pre_shock_baseline,recovered_indicator,Recovered Indicator,all,300,0.9966666666666667,0.05773502691896257,1.0,0.95,0.99,1.0
Dealer Liquidity Crisis,without_amm,Without AMM,0,depth_resilience,Depth Resilience,pre_shock_baseline,time_observed_steps,Observed Time,all,300,35.04,34.03989003672566,32.5,0.95,32.38666666666666,39.5205
Dealer Liquidity Crisis,without_amm,Without AMM,0,depth_resilience,Depth Resilience,pre_shock_baseline,normalized_auc_abs,Normalized AUC,all,300,0.24420731631645812,0.10758101109127809,0.21530592564336434,0.95,0.23257716679946935,0.25825832872595683
Dealer Liquidity Crisis,without_amm,Without AMM,0,depth_resilience,Depth Resilience,pre_shock_baseline,normalized_avg_impact,Normalized Average Impact,all,300,-0.7734075895500554,0.08207714654997322,-0.7829138067023333,0.95,-0.7821659983615011,-0.7635674683109649
Dealer Liquidity Crisis,without_amm,Without AMM,0,depth_resilience,Depth Resilience,pre_shock_baseline,recovery_steps_recovered_only,Recovery Steps,recovered_only,299,33.1505016722408,9.378010017862607,32.0,0.95,32.09632107023412,34.26772575250836
Funding Liquidity Shock,with_amm,With AMM,1,depth_resilience,Depth Resilience,pre_shock_baseline,recovered_indicator,Recovered Indicator,all,300,1.0,0.0,1.0,0.95,1.0,1.0
Funding Liquidity Shock,with_amm,With AMM,1,depth_resilience,Depth Resilience,pre_shock_baseline,time_observed_steps,Observed Time,all,300,30.173333333333332,8.953799415264161,30.0,0.95,29.18325,31.230416666666663
Funding Liquidity Shock,with_amm,With AMM,1,depth_resilience,Depth Resilience,pre_shock_baseline,normalized_auc_abs,Normalized AUC,all,300,0.22262959631683013,0.08639975601922652,0.1970222946853737,0.95,0.2133538223354271,0.2325307351070154
Funding Liquidity Shock,with_amm,With AMM,1,depth_resilience,Depth Resilience,pre_shock_baseline,normalized_avg_impact,Normalized Average Impact,all,300,-0.7592741199893601,0.08621535689425015,-0.7672749024228209,0.95,-0.7685166540635786,-0.7490255712653914
Funding Liquidity Shock,with_amm,With AMM,1,depth_resilience,Depth Resilience,pre_shock_baseline,recovery_steps_recovered_only,Recovery Steps,recovered_only,300,30.173333333333332,8.953799415264161,30.0,0.95,29.18325,31.166916666666665
Funding Liquidity Shock,without_amm,Without AMM,0,depth_resilience,Depth Resilience,pre_shock_baseline,recovered_indicator,Recovered Indicator,all,300,0.9966666666666667,0.05773502691896256,1.0,0.95,0.99,1.0
Funding Liquidity Shock,without_amm,Without AMM,0,depth_resilience,Depth Resilience,pre_shock_baseline,time_observed_steps,Observed Time,all,300,32.53,33.59331485095786,30.0,0.95,29.996583333333334,36.833999999999996
Funding Liquidity Shock,without_amm,Without AMM,0,depth_resilience,Depth Resilience,pre_shock_baseline,normalized_auc_abs,Normalized AUC,all,300,0.22588679934365538,0.09271759823154384,0.20514958639459713,0.95,0.21632611897436543,0.23714348178934608
Funding Liquidity Shock,without_amm,Without AMM,0,depth_resilience,Depth Resilience,pre_shock_baseline,normalized_avg_impact,Normalized Average Impact,all,300,-0.766224114023887,0.07895604139405575,-0.7758502777602612,0.95,-0.7746563041066988,-0.7571196926405638
Funding Liquidity Shock,without_amm,Without AMM,0,depth_resilience,Depth Resilience,pre_shock_baseline,recovery_steps_recovered_only,Recovery Steps,recovered_only,299,30.632107023411372,6.933415772214064,30.0,0.95,29.839464882943144,31.425083612040133
High-Vol Stress,with_amm,With AMM,1,depth_resilience,Depth Resilience,pre_shock_baseline,recovered_indicator,Recovered Indicator,all,300,0.9966666666666667,0.05773502691896256,1.0,0.95,0.99,1.0
High-Vol Stress,with_amm,With AMM,1,depth_resilience,Depth Resilience,pre_shock_baseline,time_observed_steps,Observed Time,all,300,217.92,27.737546845687753,213.5,0.95,215.13,221.4435
High-Vol Stress,with_amm,With AMM,1,depth_resilience,Depth Resilience,pre_shock_baseline,normalized_auc_abs,Normalized AUC,all,300,0.487846889319149,0.07942174650424522,0.4825058780609631,0.95,0.4788277483503145,0.496806491559127
High-Vol Stress,with_amm,With AMM,1,depth_resilience,Depth Resilience,pre_shock_baseline,normalized_avg_impact,Normalized Average Impact,all,300,-0.8462728258240988,0.05088594859776436,-0.8514466167998747,0.95,-0.8517075414330126,-0.8405473165860732
High-Vol Stress,with_amm,With AMM,1,depth_resilience,Depth Resilience,pre_shock_baseline,recovery_steps_recovered_only,Recovery Steps,recovered_only,299,216.64214046822744,16.74610132230726,213.0,0.95,214.8059364548495,218.57558528428095
High-Vol Stress,without_amm,Without AMM,0,depth_resilience,Depth Resilience,pre_shock_baseline,recovered_indicator,Recovered Indicator,all,300,0.9966666666666667,0.05773502691896256,1.0,0.95,0.99,1.0
High-Vol Stress,without_amm,Without AMM,0,depth_resilience,Depth Resilience,pre_shock_baseline,time_observed_steps,Observed Time,all,300,218.78666666666666,28.633559996662967,213.0,0.95,215.98,222.13691666666665
High-Vol Stress,without_amm,Without AMM,0,depth_resilience,Depth Resilience,pre_shock_baseline,normalized_auc_abs,Normalized AUC,all,300,0.4884847636925363,0.07253338559805944,0.4789286145337339,0.95,0.4802419734583846,0.4964664931919833
High-Vol Stress,without_amm,Without AMM,0,depth_resilience,Depth Resilience,pre_shock_baseline,normalized_avg_impact,Normalized Average Impact,all,300,-0.8417819501993926,0.05414397362364076,-0.8447400097346066,0.95,-0.8479050387628497,-0.8353575212772089
High-Vol Stress,without_amm,Without AMM,0,depth_resilience,Depth Resilience,pre_shock_baseline,recovery_steps_recovered_only,Recovery Steps,recovered_only,299,217.51170568561872,18.25754500926774,213.0,0.95,215.51120401337792,219.65560200668895
MM Withdrawal,with_amm,With AMM,1,execution_cost_resilience,Execution Cost Resilience,pre_shock_baseline,recovered_indicator,Recovered Indicator,all,300,0.14333333333333334,0.3509979402633573,0.0,0.95,0.10658333333333349,0.18333333333333332
MM Withdrawal,with_amm,With AMM,1,execution_cost_resilience,Execution Cost Resilience,pre_shock_baseline,time_observed_steps,Observed Time,all,300,560.3366666666667,116.67077707363332,600.0,0.95,546.8193333333334,573.0875833333333
MM Withdrawal,with_amm,With AMM,1,execution_cost_resilience,Execution Cost Resilience,pre_shock_baseline,normalized_auc_abs,Normalized AUC,all,300,0.20475669294044357,0.10705213378950096,0.18329412132515654,0.95,0.1933301892050022,0.21724682458305988
MM Withdrawal,with_amm,With AMM,1,execution_cost_resilience,Execution Cost Resilience,pre_shock_baseline,normalized_avg_impact,Normalized Average Impact,all,300,0.22739712761721284,0.10821655570106416,0.2154096649795491,0.95,0.21542075718547868,0.24018903956799398
MM Withdrawal,with_amm,With AMM,1,execution_cost_resilience,Execution Cost Resilience,pre_shock_baseline,recovery_steps_recovered_only,Recovery Steps,recovered_only,43,323.27906976744185,172.46536237216355,343.0,0.95,272.55290697674417,375.26569767441856
MM Withdrawal,without_amm,Without AMM,0,execution_cost_resilience,Execution Cost Resilience,pre_shock_baseline,recovered_indicator,Recovered Indicator,all,300,0.18333333333333332,0.3875860748793186,0.0,0.95,0.14,0.23
MM Withdrawal,without_amm,Without AMM,0,execution_cost_resilience,Execution Cost Resilience,pre_shock_baseline,time_observed_steps,Observed Time,all,300,548.3233333333334,128.7036423236738,600.0,0.95,534.071,562.1439166666667
MM Withdrawal,without_amm,Without AMM,0,execution_cost_resilience,Execution Cost Resilience,pre_shock_baseline,normalized_auc_abs,Normalized AUC,all,300,0.1972639607294208,0.10153949319985983,0.17429668904783646,0.95,0.18651925798487343,0.2094243218119517
MM Withdrawal,without_amm,Without AMM,0,execution_cost_resilience,Execution Cost Resilience,pre_shock_baseline,normalized_avg_impact,Normalized Average Impact,all,300,0.23479136913206142,0.10888256155949484,0.22427833355110702,0.95,0.22247126816556553,0.24781539290046842
MM Withdrawal,without_amm,Without AMM,0,execution_cost_resilience,Execution Cost Resilience,pre_shock_baseline,recovery_steps_recovered_only,Recovery Steps,recovered_only,55,318.1272727272727,160.09800870270809,326.0,0.95,277.3259090909091,359.98454545454547
Flash Crash,with_amm,With AMM,1,execution_cost_resilience,Execution Cost Resilience,pre_shock_baseline,recovered_indicator,Recovered Indicator,all,300,0.13333333333333333,0.34050261230349943,0.0,0.95,0.09666666666666666,0.17333333333333334
Flash Crash,with_amm,With AMM,1,execution_cost_resilience,Execution Cost Resilience,pre_shock_baseline,time_observed_steps,Observed Time,all,300,566.2033333333334,101.32742048773315,600.0,0.95,554.4095833333333,576.9504166666667
Flash Crash,with_amm,With AMM,1,execution_cost_resilience,Execution Cost Resilience,pre_shock_baseline,normalized_auc_abs,Normalized AUC,all,300,0.14581342792766905,0.0813768667937953,0.13084901210757863,0.95,0.1362480605081496,0.1553455681565708
Flash Crash,with_amm,With AMM,1,execution_cost_resilience,Execution Cost Resilience,pre_shock_baseline,normalized_avg_impact,Normalized Average Impact,all,300,0.23420853987034193,0.10717424079071586,0.21787843209541682,0.95,0.22248878825707016,0.24629383934065294
Flash Crash,with_amm,With AMM,1,execution_cost_resilience,Execution Cost Resilience,pre_shock_baseline,recovery_steps_recovered_only,Recovery Steps,recovered_only,40,346.525,146.98578118918468,344.5,0.95,302.4543750000001,388.655
Flash Crash,without_amm,Without AMM,0,execution_cost_resilience,Execution Cost Resilience,pre_shock_baseline,recovered_indicator,Recovered Indicator,all,300,0.23666666666666666,0.4257461153528187,0.0,0.95,0.19,0.2866666666666667
Flash Crash,without_amm,Without AMM,0,execution_cost_resilience,Execution Cost Resilience,pre_shock_baseline,time_observed_steps,Observed Time,all,300,527.7266666666667,154.9042814458542,600.0,0.95,509.65141666666665,545.7070833333333
Flash Crash,without_amm,Without AMM,0,execution_cost_resilience,Execution Cost Resilience,pre_shock_baseline,normalized_auc_abs,Normalized AUC,all,300,0.1398715442785914,0.07067222289929746,0.12633136248354887,0.95,0.1320335809293565,0.14777077452192916
Flash Crash,without_amm,Without AMM,0,execution_cost_resilience,Execution Cost Resilience,pre_shock_baseline,normalized_avg_impact,Normalized Average Impact,all,300,0.2358216872023271,0.10171166422980446,0.2361770285781391,0.95,0.22467077273989183,0.24747265791785383
Flash Crash,without_amm,Without AMM,0,execution_cost_resilience,Execution Cost Resilience,pre_shock_baseline,recovery_steps_recovered_only,Recovery Steps,recovered_only,71,294.61971830985914,174.04353857560903,262.0,0.95,254.95528169014085,334.0848591549296
